,date,title,press,contents,link
0,1일 전,"육우자조금, 오뚜기와 육우 협업 메뉴 '카레·비빔면' 선봬",뉴스1,육우자조금관리위원회는 식재료로 육우 접근성을 높이기 위해 오뚜기 제품과 협업한 육우 메뉴를 롤리폴리 꼬또 케이브에서 선보인다고 25일 밝혔다. 이번에 선보이는 '육우 사과 카레'와 '육우 육회 비빔면'은 오뚜기...,https://www.news1.kr/articles/5026199
1,10시간 전,"육우자조금, '오뚜기 제품+육우' 콜라보 메뉴 선봬",한국농어촌방송,육우자조금이 오뚜기와 콜라보한 메뉴를 선보인다. [육우자조금] 육우자조금관리위원회(이하 육우자조금)는 오뚜기 제품과 콜라보한 육우 메뉴를 롤리폴리 꼬또 케이브에서 4월 26일부터 5월 9일까지 선보입니다. 이번에...,http://www.newskr.kr/news/articleView.html?idxno=89513
2,3시간 전,"오뚜기 진비빔면·진짜쫄면, 여름 성수기 '쌍두마차'",포춘코리아,진짜쫄면과 진비빔면 배사매무초를 들고 있는 화사 [사진=오뚜기] 오뚜기가 진비빔면과 진짜쫄면으로 여름 성수기를 앞둔 비빔면 시장 공략에 나섰다. 두 제품은 경쟁이 치열한 한국 비빔면 시장에서 입지를 다진...,http://www.fortunekorea.co.kr/news/articleView.html?idxno=27692
3,5시간 전,"오뚜기, 장애인 고용·문화 활동 지원 '활발'",시사위크,오뚜기 역시 그중 하나다. 오뚜기는 장애인의 고용 및 사회 참여를 확대하기 위해 다양한 활동을 전개 중이다. 2021년 11월 자회사형 장애인 표준사업장인 오뚜기프렌즈를 설립한 것도 이러한 활동의 일환이다. 오뚜기는...,http://www.sisaweek.com/news/articleView.html?idxno=204381
4,1일 전,"오뚜기, '진비빔면'·'진짜쫄면'으로 비빔면 시장 공략",시사오늘,"진비빔면 모델 화사 ⓒ사진 제공=오뚜기 오뚜기가 '진비빔면'과 '진짜쫄면' 두 제품으로 여름 계절면 시장을 공략한다. 본격적인 성수기가 다가오면서 새 모델 선정과 신규 광고 공개, 제품 다양화 등에 나선다는...",http://www.sisaon.co.kr/news/articleView.html?idxno=149684
5,2일 전,中 사로잡은 오뚜기…매출 80% 성장,디지털타임스,"24일 유통업계에 따르면 오뚜기는 올해 1분기 중국에서 140억원의 매출을 거뒀다. 이는 전년 동기 대비 80% 성장한 수준이다. 지난해 4분기(120억원)와 비교해도 약17% 늘었다. 오뚜기 관계자는 ""중국의 코로나19 봉쇄조치가...",http://www.dt.co.kr/contents.html?article_no=2023042402109932102004&ref=naver
6,9시간 전,베트남 제사상에 ‘초코파이’가?…‘K-푸드 전성시대’ 식품업계 시총 전쟁,이코노미스트언론사 선정,오뚜기(007310)도 국내외에서 선전하고 있지만 투자자 입장에선 별로 매력적이지 않다는 의견이 나온다. 매출은 지속적으로 개선되고 있지만 가격이 문제란 지적이다. 오뚜기는 라면을 포함한 여러 카테고리에서...,https://economist.co.kr/article/view/ecn202304250074
7,1일 전,"오뚜기, 라면3사 중 부채비율 가장 많이 상승",데이터뉴스,"지난해 라면 3사 중 오뚜기와 삼양식품의 부채비율이 두 자릿 수 상승폭을 기록했다. 다만, 3사 모두... 25일 데이터뉴스가 금융감독원 전자공시시스템에 공시된 오뚜기의 사업보고서를 분석한 결과, 지난해...",http://www.datanews.co.kr/news/article.html?no=127095
8,7일 전,"오뚜기, 장애인 임직원 위한 '특별한 문화행사' 9회째 이어가",뉴시스,"개최 오뚜기가 제 43회 장애인의 날을 맞아 ‘제9회 하트 시각장애인 체임버 오케스트라 초청연주회’를 개최했다고 19일 밝혔다. 이번 연주회는 2013년을 시작으로 오뚜기센터, 오뚜기 안양공장 및 대풍공장 등에서...",http://www.newsis.com/view/?id=NISX20230419_0002272145&cID=13001&pID=13000
9,7일 전,"오뚜기, '제1회 일러스트레이션 공모전' 시상식 개최",아시아경제,"오뚜기는 '제1회 오뚜기 일러스트레이션 공모전(OIF)' 시상식을 개최했다고 19일 밝혔다. 이번 공모전은 오뚜기 제품을 매개로 사람과 공간, 시간을 하나로 연결해 식문화와 아트를 결합한 새로운 문화를 창조하고자...",https://view.asiae.co.kr/article/2023041909240201705
10,2023.04.18.,"오뚜기, '지중해산 토마토 카레' 출시",머니S,오뚜기가 6년만에 고형 카레 신제품을 선보였다. 오뚜기는 토마토의 상큼함과 풍미를 더한 '지중해산 토마토 카레'를 출시했다고 18일 밝혔다. 새롭게 선보인 '지중해산 토마토 카레'는 오뚜기만의 노하우로 만든 카레에...,http://moneys.mt.co.kr/news/mwView.php?no=2023041811504089053
11,2023.04.18.,[신제품] 오뚜기·동원홈푸드·감성커피 외,스포츠한국,"오뚜기는 '지중해산 토마토 카레'를, 동원홈푸드는 비건 전문 브랜 '비비드그린(VIVID GREEN)'을 론칭하고 첫... 사진=오뚜기 제공 ◆ 오뚜기, '지중해산 토마토 카레' 출시 오뚜기는 '지중해산 토마토 카레'를 출시했다. 이번...",https://sports.hankooki.com/news/articleView.html?idxno=6826508
