,date,title,press,contents,link
0,12시간 전,"[스프] ""대통령실 용산 이전이 주변 교통 체증 불렀다"" 사실일까",SBS언론사 선정,"5% / 조사대상 : 성별, 연령, 지역별 인구비례를 고려한 표본 만 18-69세 1,500명 청와대 개방 후 관리 문제 및 경제 효과성 논란, 용산 이전 비용 및 도감청 취약성 등이 반대 이유로 제기되었고, 이전이 본격화된 이후에는...",https://news.sbs.co.kr/news/endPage.do?news_id=N1007167655&plink=ORI&cooper=NAVER
1,2일 전,"[단독] “영빈관, 대통령이 계속 사용해야” 청와대 관리활용 자문단 보고서 ...",시사IN언론사 선정,"청와대 개방이 대통령실 용산 이전과 동시에 급속도로 진행되면서, 청와대 운영 및 관리 주도권을 가질 주체와 방향은 박 장관의 업무계획 보고가 이뤄질 때까지도 명확히 정해지지 않고 있었다. 문체부와 문화재청...",https://www.sisain.co.kr/news/articleView.html?idxno=50198
2,7일 전,"""외국인 버킷리스트 될 것""…손님 맞이 1주년 청와대의 변신",한국경제언론사 선정,달라졌다”며 “이전엔 동남아시아 중심의 K팝 팬들이 많았지만 최근엔 한국의 매력에 푹 빠져서 온 중장년층의 서양 여행객들도 많다”고 말했다. 이들에게 청와대가 소구력이 있을 것이란 관측이다. 도서 관련 유튜버...,https://www.hankyung.com/life/article/202304198622i
3,2일 전,"강기정·김영록, 군공항 이전 '정치적 갈등'접고 상생을",시민의소리,문재인 전 대통령이 자신에게 몰표를 던져준 민주당 텃밭인 광주군공항 이전 문제에 적극 나서지 않는다면 적어도 이 시장과 김 지사는 청와대 앞에서 '2인 시위'라도 하겠다는 결기에 찬 의지를 보여어야 했다. 뒤늦게...,http://www.siminsori.com/news/articleView.html?idxno=235625
4,5일 전,2~3일에 하루 꼴로 청와대 관람 제한‥이유는 대통령실 행사,MBC언론사 선정,"하지만 좋은 것을 졸속 이전이 아닌 계획·절차를 잘 로드맵을 작성해서 이전을 했더라면‥"" 대통령실은 ""총 328만 명이 청와대를 찾을 만큼 청와대 개방에 대한 국민의 호응이 크며"", ""민생현안을 논의하기 위해 영빈관을...",https://imnews.imbc.com/replay/2023/nwdesk/article/6476490_36199.html
5,5일 전,"여야 '언론재단-청와대' 공방…""국민이 무슨 죄냐"" ""역사문화공간""",뉴스1,더불어민주당은 KBS 기자의 재단 연수 취소가 부적절한 점과 대통령실 이전으로 청와대를 개방했지만 결국 윤석열 대통령 행사장으로 전락했다고 지적했다. 반면 국민의힘은 연수 취소와 청와대 개방의 정당성을 주장하며...,https://www.news1.kr/articles/5023318
6,2일 전,"[시론] 공정과 상식, ‘용산 이전’ 초심 어디 갔나",대한경제,윤 정부가 역대 정부와 분명한 차별화는 대통령실의 용산 이전이다. 구중심처(九重深處) 청와대를 국민에게 돌려주고 대통령이 국민에게 다가가겠다는 시도에 국민들은 환영했다. 하지만 지금은 ‘대통령 지시사항’만...,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202304240816385970919
7,2일 전,"이재표 충청리뷰 국장 ""선거 단골 공약 '청주교도소 이전' 완결 숙제, 내년 총...",BBS NEWS,▷연현철 : 오늘 준비해주신 내용이 청주시 미평동에 있는 청주교도소 이전문제에 대해서 준비해주셨는데... 특히 김진모 위원장은 현 한동훈 법무부 장관을 청와대 민정에 있을 때 또는 대검찰청에 있을 때 직속으로...,https://news.bbsi.co.kr/news/articleView.html?idxno=3108149
8,5일 전,"여야, 靑 관람객 감소 놓고 공방…""졸속 이전"" ""증가추세""(종합)",뉴스1,"그러면서 ""대통령실 이전과 청와대 관람객 수와 도대체 무슨 관계가 있나""라고 지적했다. 같은 당 김승수 의원은 ""청와대 개방이 1년도 안됐는데 (관람객이) 314만명이 넘었다. 300만명 이상 관람하는 우리나라 명소가 있나....",https://www.news1.kr/articles/5023585
9,2023.04.11.,"대통령실 ""용산 이전으로 보안 문제 생겼단 건 정치적 공세""",뉴시스언론사 선정,"대통령실 핵심 관계자는 이날 오후 용산 대통령실에서 기자들과 만나 ""청와대에서 용산으로 이전해서 보안 문제가 생겼다는 주장은 정치적 공세에 지나지 않는다""고 일축했다. 앞서 대통령실은 이날 오전 대변인실 공지를...",http://www.newsis.com/view/?id=NISX20230411_0002262085&cID=10301&pID=10300
10,2023.04.15.,"美 도청 불똥, 대통령실 졸속이전 논란 재점화",아시아경제언론사 선정,"이어 ""청와대 용산 이전은 속도전으로 수행됐다""며 ""기존의 국방부 합참본부 그리고 예하 소속 기관들의 이사 문제와 또 옮겨오는 대통령실, 경호부대 개편 문제까지, 하드웨어적 요소를 고려하는데도 물리적으로 시간이...",https://view.asiae.co.kr/article/2023041111251078052
11,2일 전,"[시론] 공정과 상식, ‘용산 이전’ 초심 어디 갔나",대한경제,윤 정부가 역대 정부와 분명한 차별화는 대통령실의 용산 이전이다. 구중심처(九重深處) 청와대를 국민에게 돌려주고 대통령이 국민에게 다가가겠다는 시도에 국민들은 환영했다. 하지만 지금은 ‘대통령 지시사항’만...,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202304240816385970919
12,2023.04.10.,"청와대, 문체부가 관리한다…""역동적 공간으로 업그레이드""",뉴시스언론사 선정,"5월 어린이날 행사 등 청와대에서 연례적으로 열렸던 행사도 달라진다. 개방 이전에는 한정된 장소에 소수의 어린이만 초청했지만 이번엔 대정원, 녹지원, 헬기장 등 전역에서 전통 의장과 군악 공연 및 다채로운 체험...",http://www.newsis.com/view/?id=NISX20230410_0002259952&cID=10701&pID=10700
13,2일 전,"이재표 충청리뷰 국장 ""선거 단골 공약 '청주교도소 이전' 완결 숙제, 내년 총...",BBS NEWS,▷연현철 : 오늘 준비해주신 내용이 청주시 미평동에 있는 청주교도소 이전문제에 대해서 준비해주셨는데... 특히 김진모 위원장은 현 한동훈 법무부 장관을 청와대 민정에 있을 때 또는 대검찰청에 있을 때 직속으로...,https://news.bbsi.co.kr/news/articleView.html?idxno=3108149
14,6일 전,포럼 ‘사의재’ “용산 이전 실제 비용 1조원 육박”,경향신문,사의재는 이어 “청와대를 중심으로 수십 년에 걸쳐 구축된 국가위기관리시스템을 졸속으로 이전하면서 국가재난 및 위기 대응 체계에 큰 구멍이 뚫렸다”고 지적했다. 이들은 “국가위기대응체계에 대한 윤석열 정부의...,https://www.khan.co.kr/politics/politics-general/article/202304201145001
15,2023.04.12.,기밀문건 '가짜' 여부 한미 온도차…용산 이전 책임론 불식?,노컷뉴스언론사 선정,"그러면서 대통령실은 용산 청사에 대한 도청 가능성을 사실상 부인하고 나섰는데, 야당에서 제기하고 있는 청와대 이전 관련 책임론을 불식시키려는 의도로 해석된다. 백악관 국가안전보장회의(NSC) 존 커비...",https://www.nocutnews.co.kr/news/5925952
16,2023.04.10.,"대통령실 ""NSC 보안, 청와대보다 용산이 더 탄탄""",MBN,"“NSC의 보안, 안전 부분은 청와대보다 용산이 더 탄탄하다” 미국 중앙정보국(CIA)이 대통령실 고위 당국자 내부 논의를 도청했다는 보도에 야권이 집무실 이전 과정이 문제 됐을 수 있다고 주장하자 대통령실은 이 같이...",http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00006&news_seq_no=4919261
17,2023.04.11.,박홍근 “용산 졸속 이전에 보안 문제 현실화…진상규명해야”,조선비즈,"또한 “용산 이전으로 도·감청에 취약해진 것 아니냐는 지적에 대통령실은 ‘용산청사는 도·감청이 더 어렵고 청와대보다 안전하다, 이전 당시부터 완벽하게 준비했다’고 주장했다”고 했다. 이어 “용산이 완벽하다는...",https://biz.chosun.com/policy/politics/2023/04/11/RP57SNHOLBBT5K3WSUU6B3PCPM/?utm_source=naver&utm_medium=original&utm_campaign=biz
18,2023.04.10.,"이진복 ""용산이 청와대보다 도감청 어렵다""",뉴시스언론사 선정,"집무실 졸속 이전으로 도·감청이 쉬워졌다는 주장에는 ""오히려 지금 옮긴 곳이 더 어렵다""고 반박했다. 이... 용산 대통령실로 졸속 이전하면서 도·감청에 더욱 취약해졌다는 야권의 비판에는 ""그건 잘못 안 것 같다""며...",http://www.newsis.com/view/?id=NISX20230410_0002260713&cID=10301&pID=10300
19,2023.04.11.,"""용산 이전으로 허점이…靑은 도청 어려운 구조""",아시아경제언론사 선정,"그는 ""아시다시피 청와대 용산 이전은 속도전으로 수행됐다""며 ""기존의 국방부 합참본부, 그리고 예하 소속 기관들의 이사 문제와 또 옮겨오는 대통령실, 경호부대 개편 문제까지, 하드웨어적 요소를 고려하는데도...",https://view.asiae.co.kr/article/2023041109282803008
20,2023.04.13.,"민주당, 도감청 파문에 ""용산 졸속 이전, 재집권시 다시 청와대 가야""[도청문...",프레시안,"이재근 참여연대 협동사무처장은 ""용산 이전은 윤석열 정부가 잘못 꿴 첫 단추""라면서 ""가장 큰 문제 중 하나는 청와대 이전이라는 중대 결정을 하고 이전 장소를 결정하는 과정에 일체 공론화 과정 없었단 것""이라고...",https://www.pressian.com/pages/articles/2023041315534707923?utm_source=naver&utm_medium=search
21,2023.04.11.,"與 ""용산 보안 더 강화"" vs 野 ""졸속 이전이 문제""",YTN언론사 선정,[기자] 국민의힘은 시설을 새로 보강한 용산 대통령실은 청와대보다 훨씬 보안이 강해 도·감청이 절대 불가능하다고 주장했습니다. 도·감청이 대통령실 이전 탓이라는 야당의 주장을 근거 없는 정치 공세로 깎아내린...,https://www.ytn.co.kr/_ln/0101_202304111831220311
22,2023.04.13.,"민주 ""우리가 재집권하면 청와대로 돌아가야""…도·감청 의혹 비판",MBN언론사 선정,"다시 청와대로 들어가야 하지 않나 생각한다""고 덧붙였습니다. 문재인 정부 출신 인사 정책포럼인 사의재의 조대엽 공동대표도 ""국민들은 왜 대통령실이 그토록 급작스럽게 이전했는지 여전히 알지 못한다""며 ""절차 문제...",http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00006&news_seq_no=4920229
23,2023.04.13.,"野, '대통령실 졸속 이전' 십자포화...""안보 공백·혈세 낭비 심각""",아주경제,"박 원내대표는 ""청와대 이전 역시 막대한 경제 효과를 호언장담했지만, 개방 1년 만에 상황이 급변했다""며 ""주변 소상공인들의 한숨만 늘어난다. 의견 수렴 과정과 제대로 된 준비, 설명도 없이 그저 국민께 돌려드린다는...",https://www.ajunews.com/view/20230413113306128
24,2023.04.16.,"北무인기 이어 美도청까지…""대통령실 이전으로 안보공백""",아시아경제언론사 선정,"박 원내대표는 ""대통령실을 용산으로 이전하느라 도·감청에 취약해진 것 아니냐는 지적에 대통령실은 '도·감청이 더 어렵다', '청와대보다 더 안전하다', '보안 문제는 이전 당시부터 완벽히 준비했다'고 주장했다""며...",https://view.asiae.co.kr/article/2023041215540921880
25,2023.04.14.,[이충재 칼럼] '대통령실 졸속 이전' 후유증 도청뿐일까,오마이뉴스언론사 선정,아무리 좋게 생각해도 대통령실 이전은 서두를 일이 아니었다. 청와대를 옮기는데 많은 국민이 공감하고 있던 터라 시간을 두고 면밀하게 따져 결정해야 했다. 그러지 못해 발생한 유무형의 피해는 눈덩이처럼 커지고...,https://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002918902&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news
26,2023.04.10.,"대통령실, 도·감청 논란에 ""청와대보다 용산이 더 안전""",오마이뉴스언론사 선정,"부분은 청와대보다는 용산이 훨씬 더 탄탄하다""라고 강조했다. 대통령실 핵심 관계자는 이날 오후 기자들과... 그러고는 ""대통령실 청사 보안 문제라든지, 이런 부분은 우리가 이전해 올 때부터 완벽하게 준비를 했고...",https://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002917636&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news
27,2023.04.10.,"“졸속이전, 필름 한장 덧댄 용산” 美 스파이 활동에 뚫렸나? [이슈픽]",서울신문언론사 선정,"김병주 “졸속이전 용산 대통령실, 도·감청 무방비” 4성 장군 출신인 김병주(육사 40기) 더불어민주당... 문재인 정부 청와대 국정상황실장을 지낸 윤건영 의원은 페이스북에서 “다른 곳도 아닌 대통령실에 대한 도청...",https://www.seoul.co.kr/news/newsView.php?id=20230410500081&wlog_tag3=naver
28,2023.04.11.,"고민정 “美 도청 논란, 文 청와대 이전 검토 때도 보안 우려”",이데일리,"청와대는 뒤로는 북악산이 있고 앞으로는 경복궁이 가로막혀 있는 곳이고, 일반 다른 건물들이나 사람들과도 거리가 상당히 있는 곳에 위치해 있었다”며 “실제로 저희(문재인 정부)가 광화문으로 청와대를 이전하려고...",http://www.edaily.co.kr/news/newspath.asp?newsid=01817126635575136
29,2023.04.11.,"대통령실 ""문건 상당수 위조…청와대보다 도청 방지 탄탄""",JTBC언론사 선정,"대통령실은 현재 용산 대통령실 청사가 군사시설이기 때문에, 과거 청와대보다 훨씬 강화된 도청 방지... [기자] 민주당은 결국 대통령 집무실 용산 이전 때문에 생긴 보안 사고라며, 미국 정부가 우리 국민과 정부에 사과와...",https://news.jtbc.co.kr/article/article.aspx?news_id=NB12121879
30,2023.04.11.,한국 야당은 “대통령실 이전 탓” 총공세,조선일보언론사 선정,대통령실 “이전때 보안 완벽 준비… 대통령이 근무하는 곳의 보안은 용산이 청와대보다 더 낫다” 반박 더불어민주당은 10일 미국 정보기관이 대통령실 회의를 도청했다는 의혹에 대해 “대통령 집무실 용산 이전 때문에...,https://www.chosun.com/politics/politics_general/2023/04/11/KKESIR4XKZDO3GCXLOE7MY4YKA/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news
31,2023.04.11.,美 도청 의혹에… 대통령실 “청와대보다 보안 탄탄”,세계일보언론사 선정,"대통령실 관계자는 “청사 보안은 (대통령실을) 이전할 때부터 완벽하게 준비했고, 정기적 점검 과정을 거쳐 아무 문제가 없었던 것으로 파악되고 있다”며 “청와대 (시절)보다 용산의 보안이 더 탄탄하다”고 말했다....",http://www.segye.com/content/html/2023/04/10/20230410523069.html?OutUrl=naver
32,6일 전,[필동정담] 청와대 사미인곡,매일경제,"지난해 역대급 물난리 대처가 늦은 것도, 이태원 참사도, 미국 도감청도 청와대에서 나왔기 때문이란다. 하다 하다 대통령실 용산 이전 1년을 비판하는 토론회까지 열어 ""천공이 한남동 공관을 둘러본 지 1주년이 됐다""며...",https://www.mk.co.kr/article/10717724
33,2023.04.10.,"美 CIA 도·감청 의혹...""용산 이전 때문?"" vs ""청와대 때는?""",YTN언론사 선정,야당에서는 용산 대통령실 이전과 관련 있을 거란 의심을 하고 있습니다. [김병주 / 더불어민주당 의원 (MBC... 그리고 사실 청와대에 있을 때는 그런 문제가 없었느냐. 제가 조금 전에 말씀드린 것처럼 박정희 정권 때도 이런...,https://www.ytn.co.kr/_ln/0101_202304101309027495
34,2023.04.11.,청와대-용산 대통령실 지하벙커 '보안' 비교해보니…,TV조선언론사 선정,"민주당은 대통령 집무실을 용산으로 무리하게 이전하면서 보안 문제가 발생했다고 주장하지만, 대통령실은 청와대보다 오히려 현 집무실이 더 안전하다는 입장입니다. 어느 쪽의 주장이 더 신빙성이 있는지 저희가 두...",http://news.tvchosun.com/site/data/html_dir/2023/04/11/2023041190197.html
35,2023.04.11.,"'도·감청' 대통령실도 뚫렸나...""용산 이전 서두른 탓""",MBN,"김 전 의원은 ""그렇기에 (대통령실을) 용산으로 이전할 때 안보가 우려된다고 했던 것""이라고 말했습니다.... 반면 청와대의 경우 ""벙커에 도감청 방지 시설이 다 돼 있는 것으로 알고 있다""고 설명했습니다.",http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00009&news_seq_no=4919412
36,2023.04.10.,"민주, '美 CIA 도청 의혹'에 ""대통령실 이전 때 예견된 문제""(종합)",뉴스1언론사 선정,"정 최고위원은 ""이런 보안 사고는 대통령실 이전 때부터 우려되고 예상됐다""며 ""가장 안전한 청와대 벙커를 버리고 졸속적 리모델링 공사를 했으니 예견된 보안참사 아닌가""라고 지적했다. ""자국 보안시설은 건설자재도...",https://www.news1.kr/articles/5010012
37,2023.04.10.,"이진복 정무수석 ""靑 이전 때문? 용산이 도·감청 훨씬 어려워""",YTN,대통령실은 청와대의 용산 이전도 감청의 원인일 수 있다는 야당의 주장을 적극적으로 반박했습니다. 이진복 정무수석은 사실관계 확인 전까지는 신중해야 한다면서도 청와대보다 용산 청사가 도·감청이 훨씬 어렵다고...,https://www.ytn.co.kr/_ln/0101_202304101711431568
38,2023.04.11.,"[뉴스라이더] 대통령실 ""사실관계 먼저""...민주 ""대통령실 이전 영향""",YTN,대통령실은 청와대의 용산 이전도 감청의 원인일 수 있다는 야당 주장에 적극적으로 반박했습니다. 용산청사가 청와대보다 도·감청이 훨씬 어렵다고 강조한 건데요. 하지만 여러 의문점을 해소하기는 쉽지 않아 보입니다....,https://www.ytn.co.kr/_ln/0101_202304110815537798
39,2023.04.13.,"민주 '尹정부 1년' 성토…""경제·외교·국방 후퇴""""용산 졸속이전""",뉴스1,"국가 보안시설 개방과 이전에 철저한 사전 준비가 없었으니 결과는 불 보듯 뻔하다""며 ""북한 무인기에 우리 하늘과 대통령실이 뚫리더니 최근에는 미국 정보기관의 도청 문제까지 제기됐다""고 강조했다. 청와대 개방에...",https://www.news1.kr/articles/5014385
40,2023.04.10.,용산 대화 이미 샜는데…대통령실 “청와대보다 보안 완벽”,한겨레언론사 선정,"대통령실 핵심 관계자는 기자들과 만나 “청사 보안 문제는 이전할 때부터 완벽히 준비했고, 그동안 아무 문제가 없던 것으로 파악된다”며 “청와대 시절 벙커는 지상으로 돌출돼 있어, 보안이나 안전은 오히려 여기가 더...",https://www.hani.co.kr/arti/politics/politics_general/1087322.html
41,2023.04.12.,"[이앤피] 與""CIA 도청 용산이전 탓 아냐!"" 野""그럼 휴민트가 전달 했냐?""",YTN,◐ 박상혁: 저희가 용산 이전 문제를 거론한 것은 아시는 것처럼 용산 청사 바로 옆에 미군 부대가 있습니다. 청와대도 과거의 사례가 있지만 이게 뉴욕타임스에서 주장하는 것처럼 기술적 방법에 의한 도청이었다면...,https://www.ytn.co.kr/_ln/0101_202304121632551431
42,2023.04.10.,"대통령실 ""청와대보다 용산이 더 안전하다""",kbc광주방송언론사 선정,"특히 ""청사 보안 문제는 이전해 올 때부터 완벽하게 준비했다, 청와대 시절 벙커 구조는 지상으로 약간 좀 돌출돼 있기 때문에 보안은 여기가 더 안전하다고 이야기할 수 있다""고 말했습니다. 이는 야당의 '용산 대통령실...",http://www.ikbc.co.kr/article/view/kbc202304100063
43,2023.04.15.,[용와대 1년] 청와대 떠난 尹…'美 도·감청 의혹' 원인 지목 등 부작용 속출,아주경제,"""용산 대통령실 졸속 이전, 혈세 낭비에 교통 등 시민 불편 초래"" 민주당은 이른바 '용와대(용산+청와대)' 이전이 이번 도·감청 등 안보 공백 문제 외에도 다양한 부작용을 낳았다는 입장이다. 민주당은 지난 13일 국회...",https://www.ajunews.com/view/20230414165040070
